0.0,20.0,0.0,0.0,0.0
1.0,20.0,6.944613210860854e-96,8.058557040246304e-96,5.78833057079092e-96
2.0,20.0,1.7042211769520598e-83,1.9878327137315106e-83,1.4116407573143235e-83
3.0,20.0,1.2463942850955764e-72,1.4716149669992256e-72,1.017232533018658e-72
4.0,20.0,5.8659965080171717e-67,6.942824574968947e-67,4.773056157947929e-67
5.0,20.0,2.356358145558416e-62,2.7947218753172204e-62,1.9123902088656603e-62
6.0,20.0,9.506719378773395e-58,1.1312847600841017e-57,7.683991765203165e-58
7.0,20.0,8.242846083345248e-55,9.813534337301741e-55,6.658534440308646e-55
8.0,20.0,5.8478622134487184e-52,6.967033358580111e-52,4.7198397597867965e-52
9.0,20.0,3.439322124423587e-49,4.101315397555932e-49,2.77276951753139e-49
10.0,20.0,1.3015901556201158e-46,1.5535439149371207e-46,1.0481598505437554e-46
11.0,20.0,5.830764085416968e-44,6.96853484584654e-44,4.687987652775878e-44
12.0,20.0,1.4057754569623275e-41,1.6816673212167075e-41,1.1289577274621042e-41
13.0,20.0,1.8393415527197463e-39,2.2018548633462822e-39,1.4758887739440014e-39
14.0,20.0,1.4888500024914777e-37,1.7832378296495522e-37,1.193869977631867e-37
15.0,20.0,8.239700717519814e-36,9.87310497580547e-36,6.60375275259096e-36
16.0,20.0,3.3272805377904616e-34,3.98823026392454e-34,2.6655409080596644e-34
17.0,20.0,1.1656202381455049e-32,1.3976419115497715e-32,9.334037067888736e-33
18.0,20.0,5.106144793269176e-31,6.124710249329789e-31,4.087092125416275e-31
19.0,20.0,1.138488773950685e-29,1.3658234529566893e-29,9.110837891261673e-30
20.0,20.0,1.8493004518287913e-28,2.2188269723903295e-28,1.479701427384483e-28
21.0,20.0,2.4761963784074628e-27,2.9712567067144264e-27,1.9810813382326088e-27
22.0,20.0,2.6489134675798475e-26,3.1787070478444594e-26,2.1190922780950116e-26
23.0,20.0,2.4669922263509147e-25,2.960547697985994e-25,1.9734323488193644e-25
